YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MICROSECOND,body_x,body_y,tail_x,tail_y,head_x,head_y,FRAME_PATH
2020,12,7,1,7,46,871946,0,296,0,36,34,382,000000000_000000000_c.png
2020,12,7,1,7,46,890275,0,274,38,381,39,221,000000001_000000067_c.png
2020,12,7,1,7,46,908879,0,340,34,222,39,380,000000002_000000134_c.png
2020,12,7,1,7,46,926773,0,335,18,218,34,382,000000003_000000199_c.png
2020,12,7,1,7,46,949064,0,315,0,36,36,382,000000004_000000266_c.png
2020,12,7,1,7,46,970846,0,295,0,36,35,382,000000005_000000333_c.png
2020,12,7,1,7,46,988761,0,325,17,218,39,381,000000006_000000399_c.png
2020,12,7,1,7,47,6851,0,286,40,379,17,218,000000007_000000466_c.png
2020,12,7,1,7,47,24851,0,301,36,382,17,218,000000008_000000533_c.png
2020,12,7,1,7,47,44930,0,295,38,382,17,218,000000009_000000599_c.png
2020,12,7,1,7,47,62968,0,340,18,218,40,379,000000010_000000666_c.png
2020,12,7,1,7,47,86315,0,338,18,218,36,382,000000011_000000733_c.png
2020,12,7,1,7,47,108303,0,338,0,36,21,381,000000012_000000799_c.png
2020,12,7,1,7,47,128559,0,296,37,382,17,218,000000013_000000866_c.png
2020,12,7,1,7,47,146918,0,339,18,218,34,382,000000014_000000933_c.png
2020,12,7,1,7,47,166787,0,296,37,382,17,218,000000015_000000999_c.png
2020,12,7,1,7,47,184646,0,295,36,382,17,218,000000016_000001066_c.png
2020,12,7,1,7,47,204878,0,339,18,218,37,382,000000017_000001133_c.png
2020,12,7,1,7,47,225357,0,295,35,382,17,218,000000018_000001199_c.png
2020,12,7,1,7,47,243365,0,317,34,223,39,379,000000019_000001266_c.png
2020,12,7,1,7,47,261088,0,295,38,381,17,218,000000020_000001333_c.png
2020,12,7,1,7,47,280900,0,339,18,218,37,382,000000021_000001399_c.png
2020,12,7,1,7,47,298762,0,296,37,382,39,221,000000022_000001466_c.png
2020,12,7,1,7,47,320796,0,281,0,36,21,381,000000023_000001533_c.png
2020,12,7,1,7,47,338969,0,306,17,218,35,382,000000024_000001599_c.png
